feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule,selection_status
pwr_solar_gwh,power_energy,current_pm_final,pwr_solar_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,124,False,False,all_in_finbert_60d,,태양광 발전량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_is_precip_day,weather,current_pm_final,wx_nat_is_precip_day,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,7,False,False,all_in_finbert_60d,,강수 발생 여부,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_precip_mm,weather,current_pm_final,wx_nat_precip_mm,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,594,False,False,all_in_finbert_60d,,전국 강수량,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_stn_sunshine_hours,weather,current_pm_final,wx_stn_sunshine_hours,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,845,False,False,all_in_finbert_60d,,관측소 일조시간,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
ext_us10y_z60,external_market,current_pm_final,ext_us10y_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,미국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_us10y_chg20,external_market,current_pm_final,ext_us10y_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1630,False,False,all_in_finbert_60d,,미국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kr10y_chg20,external_market,current_pm_final,ext_kr10y_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1166,False,False,all_in_finbert_60d,,한국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kr10y_z60,external_market,current_pm_final,ext_kr10y_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2128,False,False,all_in_finbert_60d,,한국 10년물 금리,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_sp500_z60,external_market,current_pm_final,ext_sp500_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,S&P500,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vkospi_z60,external_market,current_pm_final,ext_vkospi_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2128,False,False,all_in_finbert_60d,,VKOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_gold_z60,external_market,current_pm_final,ext_gold_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2067,False,False,all_in_finbert_60d,,금 가격,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_gold_ret20,external_market,current_pm_final,ext_gold_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2065,False,False,all_in_finbert_60d,,금 가격,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vkospi_chg20,external_market,current_pm_final,ext_vkospi_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1483,False,False,all_in_finbert_60d,,VKOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fx_usdkrw_ret20,external_market,current_pm_final,fx_usdkrw_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2123,False,False,all_in_finbert_60d,,원/달러 환율,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kospi_z60,external_market,current_pm_final,ext_kospi_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2125,False,False,all_in_finbert_60d,,KOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fx_usdkrw_z60,external_market,current_pm_final,fx_usdkrw_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2123,False,False,all_in_finbert_60d,,원/달러 환율,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_kospi_ret20,external_market,current_pm_final,ext_kospi_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2125,False,False,all_in_finbert_60d,,KOSPI,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_sp500_ret20,external_market,current_pm_final,ext_sp500_ret20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,S&P500,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vix_z60,external_market,current_pm_final,ext_vix_z60,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,VIX,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
ext_vix_chg20,external_market,current_pm_final,ext_vix_chg20,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,1514,False,False,all_in_finbert_60d,,VIX,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
pol_comp_attn,policy_compliance,current_pm_final,pol_comp_attn,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,829,False,False,all_in_finbert_60d,,이행마감 관심도,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pol_comp_deadline_w,policy_compliance,current_pm_final,pol_comp_deadline_w,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,46,False,False,all_in_finbert_60d,,이행마감 가중치,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
search_kau_intensity_level,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_level,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,754,False,False,all_in_finbert_60d,,KAU 검색 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
search_kau_intensity_shock,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_shock,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,2114,False,False,all_in_finbert_60d,,KAU 검색 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
search_kau_intensity_percentile_60d,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_percentile_60d,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,120,False,False,all_in_finbert_60d,,KAU 검색 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
search_kau_intensity_ratio_20d,nlp,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_ratio_20d,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,2124,False,False,all_in_finbert_60d,,KAU 검색 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
gov_policy_tightening_index,nlp,features/nlp_final/nlp_final_features.parquet,gov_policy_tightening_index,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1545,False,False,all_in_finbert_60d,,정부 정책 긴축지수,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
gov_compliance_policy_attention,nlp,features/nlp_final/nlp_final_features.parquet,gov_compliance_policy_attention,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,2132,False,False,all_in_finbert_60d,,정부 이행정책 관심도,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
news_text_tightening_minus_easing_60d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_tightening_minus_easing_60d,True,previous_selection_retained_after_target_overlap_gate,2116,0.9924953095684804,67,False,False,all_in_finbert_60d,,뉴스 긴축-완화 tone,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
news_text_tightening_minus_easing_30d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_tightening_minus_easing_30d,True,previous_selection_retained_after_target_overlap_gate,2116,0.9924953095684804,53,False,False,all_in_finbert_60d,,뉴스 긴축-완화 tone,NLP feature package의 as-of 검증 결과를 승계한다. 기사/검색/정책 signal은 공개일 또는 수집 asof_date <= trd_dd 조건으로 정렬한다.,selected
fuel_lng_japan,fuel,raw.commodities_monthly,lng_japan,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,127,False,False,all_in_finbert_60d,,LNG 가격,외부 원자재 월별/일별 값은 원천 frequency에 맞춘 보수적 as-of key로 정렬한다.,selected
fuel_natgas_europe,fuel,raw.commodities_monthly,natgas_europe,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,127,False,False,all_in_finbert_60d,,천연가스 가격,외부 원자재 월별/일별 값은 원천 frequency에 맞춘 보수적 as-of key로 정렬한다.,selected
fuel_coal_newcastle,fuel,raw.commodities_monthly,coal_newcastle,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,127,False,False,all_in_finbert_60d,,석탄 가격,외부 원자재 월별/일별 값은 원천 frequency에 맞춘 보수적 as-of key로 정렬한다.,selected
pwr_fuel_price_anthracite_krw_pe,pwr,raw.epsis_fuel_cost_monthly,fuel_price_anthracite_krw_per_ton,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,117,False,False,all_in_finbert_60d,,무연탄 연료가격,월별 EPSIS 피처는 다음 달 말 공개 가정을 적용하고 asof_date <= trd_dd 조건으로 정렬한다.,selected
pwr_fuel_cost_nuclear_krw_per_kw,pwr,raw.epsis_fuel_cost_monthly,fuel_cost_nuclear_krw_per_kwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,100,False,False,all_in_finbert_60d,,원자력 연료비,월별 EPSIS 피처는 다음 달 말 공개 가정을 적용하고 asof_date <= trd_dd 조건으로 정렬한다.,selected
pwr_minimum_demand_mw,pwr,raw.epsis_power_supply_daily,minimum_demand_mw,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,27,False,False,all_in_finbert_60d,,최소 전력수요,feature_date 관측값은 보수적으로 asof_date <= trd_dd 조건으로 backward join한다. 일별 공공 데이터는 t+1 공개 가정을 적용한다.,selected
pwr_trade_volume_ppa_total_gwh,pwr,raw.epsis_power_trade_volume_monthly,trade_volume_ppa_total_gwh,True,previous_selection_retained_after_target_overlap_gate,2128,0.99812382739212,73,False,False,all_in_finbert_60d,,PPA 전력거래량,월별 EPSIS 피처는 다음 달 말 공개 가정을 적용하고 asof_date <= trd_dd 조건으로 정렬한다.,selected
ext_lpr,ext,raw.eua_daily,lpr,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1734,False,False,all_in_finbert_60d,,EUA 저가,외부시장 일별 지표는 해당 시장 관측일 이후 사용 가능하다고 보고 asof_date <= trd_dd로 정렬한다.,selected
ext_acc_trdvol,ext,raw.eua_daily,acc_trdvol,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1147,False,False,all_in_finbert_60d,,EUA 누적거래량,외부시장 일별 지표는 해당 시장 관측일 이후 사용 가능하다고 보고 asof_date <= trd_dd로 정렬한다.,selected
pol_no_5,pol,raw.gir_certified_emissions,no,True,previous_selection_retained_after_target_overlap_gate,2124,0.9962476547842402,11,False,False,all_in_finbert_60d,,인증배출 순번 proxy,공식 배출·intensity 공시는 annual_t+1 또는 source-specific disclosure lag를 적용하고 asof_date <= trd_dd로 정렬한다.,selected
wx_avg_wind_speed_mps,wx,raw.kma_asos_weather_daily,avg_wind_speed_mps,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,294,False,False,all_in_finbert_60d,,평균풍속,feature_date 관측값은 보수적으로 asof_date <= trd_dd 조건으로 backward join한다. 일별 공공 데이터는 t+1 공개 가정을 적용한다.,selected
wx_solar_radiation_mj_m2,wx,raw.kma_asos_weather_daily,solar_radiation_mj_m2,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1955,False,False,all_in_finbert_60d,,일사량,feature_date 관측값은 보수적으로 asof_date <= trd_dd 조건으로 backward join한다. 일별 공공 데이터는 t+1 공개 가정을 적용한다.,selected
src_period_2,src,raw.kospo_intensity,period,True,previous_selection_retained_after_target_overlap_gate,2123,0.9957786116322702,3,False,False,all_in_finbert_60d,,제도 기간 proxy,공식 배출·intensity 공시는 annual_t+1 또는 source-specific disclosure lag를 적용하고 asof_date <= trd_dd로 정렬한다.,selected
src_intensity,src,raw.kospo_intensity,intensity,True,previous_selection_retained_after_target_overlap_gate,2123,0.9957786116322702,81,False,False,all_in_finbert_60d,,배출/발전 intensity,공식 배출·intensity 공시는 annual_t+1 또는 source-specific disclosure lag를 적용하고 asof_date <= trd_dd로 정렬한다.,selected
mkt_clsprc,mkt,raw.krx_ets_daily,clsprc,True,previous_selection_retained_after_target_overlap_gate,2132,1.0,1107,False,False,all_in_finbert_60d,,종가,KRX 일별 시장 원천을 거래일 기준으로 정렬한다. 실거래 이후 생성되는 값은 end-of-day backtest 기준으로 사용하며 live pre-close 사용 시 lag1 전환이 필요하다.,selected
